r (Å),g_OO
1.040931083,-0.001216996
1.083484777,-0.004854063
1.126038471,-0.00521777
1.168592164,-0.00521777
1.211145858,-0.00521777
1.253699552,-0.00521777
1.296253245,-0.00521777
1.338806939,-0.000853289
1.381360633,-0.003399236
1.423914326,-0.00521777
1.46646802,-0.00521777
1.509021713,-0.00521777
1.551575407,-0.00521777
1.594129101,-0.00521777
1.636682794,-0.000853289
1.679236488,-0.003035529
1.721790182,-0.00521777
1.764343875,-0.00521777
1.806897569,-0.00521777
1.849451263,-0.00521777
1.892004956,-0.00521777
1.93455865,-0.003399236
1.980658485,-0.00385387
2.017133079,-0.005529519
2.062219731,-0.00521777
2.104773425,-0.00521777
2.147327118,-0.00521777
2.189880812,-0.00521777
2.231927914,-0.003659027
2.274988199,-0.001216996
2.317541893,-0.001944409
2.362932499,-0.000635065
2.40264928,0.012203785
2.431018409,0.049883807
2.444020927,0.080617031
2.458205491,0.108258746
2.462933679,0.138373668
2.470025962,0.197730615
2.473966119,0.175180794
2.485786589,0.2273121
2.49484895,0.270835678
2.498395091,0.372309871
2.499971154,0.311692074
2.505487373,0.352669705
2.516125797,0.425556544
2.519671938,0.568711534
2.522036032,0.488696042
2.525751037,0.45928775
2.52676422,0.508481691
2.529423826,0.540342405
2.530310361,0.582896098
2.531830136,0.618591321
2.540948785,0.671713295
2.540948785,0.652364094
2.542721855,0.706192698
2.548041067,0.780388882
2.548927602,0.750655852
2.551587208,0.825124816
2.551587208,0.798937928
2.555133349,0.887864236
2.555133349,0.849784136
2.555133349,0.996430711
2.563998702,0.918415606
2.565771772,0.968061582
2.565771772,0.943329521
2.566165788,1.029891735
2.572864055,1.152460921
2.572864055,1.126274033
2.572864055,1.100087144
2.572864055,1.073900256
2.572864055,1.053168969
2.575397013,1.182544668
2.582489295,1.298826922
2.583502478,1.267028558
2.583502478,1.241278118
2.585275549,1.218200922
2.59059476,1.391416278
2.594140902,1.472159184
2.594140902,1.439425573
2.594140902,1.354318186
2.594140902,1.328131298
2.596268586,1.411492892
2.597687043,1.5856357
2.597687043,1.559448812
2.597687043,1.533261923
2.597687043,1.507075035
2.604779325,1.786401845
2.604779325,1.760214956
2.607818875,1.609640348
2.610098537,1.640191718
2.61068956,1.694747735
2.611871607,1.843140103
2.611871607,1.168827726
2.613644678,1.668560847
2.615417748,1.724207985
2.616937523,1.809471246
2.61896389,1.856233547
2.622510031,1.883511556
2.626056172,1.971892304
2.626056172,2.061364173
2.627829242,1.917336287
2.634330501,1.996260659
2.634724517,2.034692342
2.63821437,2.091292045
2.640240736,2.189388961
2.640240736,2.16683914
2.643786878,2.227578173
2.647333019,2.336326501
2.647333019,2.310139613
2.65087916,2.274496348
2.654425301,2.393064759
2.659491217,2.361578143
2.661517583,2.430890265
2.661517583,2.404703376
2.665063724,2.466533529
2.679248289,2.554550571
2.68279443,2.575645564
2.684567501,2.604742107
2.686340571,2.637475718
2.704071277,2.673482689
2.748398041,2.73785879
2.766888634,2.707619169
2.7749941,2.675883154
2.779722288,2.64402244
2.787996617,2.616380724
2.797847009,2.574433208
2.802350046,2.525869693
2.80690937,2.496721192
2.817547793,2.46102597
2.81896625,2.384772245
2.821093934,2.419251648
2.832914405,2.35560296
2.834771907,2.316374586
2.843552828,2.278133416
2.845916922,2.244672392
2.846930106,2.219732498
2.856555346,2.185479113
2.861519943,2.099771609
2.863647628,2.155200523
2.863647628,2.129013634
2.87073991,2.073366497
2.875299235,2.019278102
2.877832193,2.047543315
2.881378334,1.994151159
2.88644425,1.955993122
2.889483799,1.923695959
2.897335969,1.888967157
2.899109039,1.852141846
2.902655181,1.829319245
2.910760646,1.798248294
2.916839745,1.767489092
2.918612816,1.719843503
2.920385886,1.74057479
2.923932027,1.6913185
2.928660216,1.651102921
2.938116592,1.599699029
2.94284478,1.565631827
2.952301156,1.536753508
2.954665251,1.453246431
2.959393439,1.420876527
2.960406622,1.478705906
2.964459355,1.507698532
2.980670286,1.401891033
2.981683469,1.372399609
2.986580521,1.34486181
2.996036897,1.287759845
2.998400991,1.318311214
2.999583038,1.251025459
3.024237162,1.207110463
3.027952167,1.17864781
3.037408544,1.155734282
3.048046967,1.128092567
3.051593108,1.102051161
3.079962237,1.032219459
3.092373731,0.995885151
3.108331367,0.966315789
3.118463198,0.939692453
3.137882543,0.915324098
3.190399204,0.847414846
3.219443789,0.824033696
3.253723153,0.807303184
3.296276847,0.793118619
3.328192117,0.789845258
3.388476516,0.786935604
3.43103021,0.785480777
3.473583904,0.792391206
3.516137597,0.798210514
3.558691291,0.812758786
3.594152702,0.821305895
3.687534419,0.866951096
3.727386291,0.888565671
3.770953168,0.90976458
3.814013453,0.929144956
3.838836441,0.941874694
3.906213122,0.996794418
3.948766816,1.01461605
3.99132051,1.028073201
4.036407161,1.043193012
4.072881756,1.058406347
4.175213257,1.084343836
4.218273543,1.09826861
4.260827236,1.111725761
4.30338093,1.123000672
4.345934624,1.130274807
4.370757612,1.136094116
4.480687987,1.153188335
4.52324168,1.157916523
4.565795374,1.151733508
4.608349068,1.149914974
4.650902761,1.141549718
4.693456455,1.133548168
4.736010149,1.121182138
4.778563842,1.104087919
4.821117536,1.08590258
4.856072356,1.066885911
4.896599683,1.051298477
4.942192926,1.033528803
5.08353198,0.963697101
5.126085674,0.946966589
5.168132776,0.932833982
5.211193061,0.92023414
5.254455983,0.902594361
5.296300448,0.897138759
5.338854142,0.891683158
5.381407836,0.884045315
5.423961529,0.87895342
5.466515223,0.877134886
5.505522776,0.878589713
5.629637715,0.87895342
5.672191409,0.883317902
5.714745103,0.891319451
5.757298796,0.898957293
5.79985249,0.904776602
5.824675478,0.909141083
5.920421289,0.929144956
5.959428841,0.935327972
6.019713241,0.948785123
6.062266934,0.952785897
6.101274487,0.962387756
6.228935568,0.998612952
6.285673826,1.018798678
6.324681378,1.023345013
6.367235072,1.032437683
6.40387853,1.033528803
6.516173,1.047713368
6.558726693,1.048804488
6.601280387,1.049895608
6.643834081,1.05644233
6.686387774,1.060079398
6.814048855,1.061534225
6.856602549,1.061897932
6.899156243,1.061897932
6.941709936,1.058260864
6.98426363,1.057533451
7.012632759,1.05535121
7.126109275,1.0440763
7.168662969,1.037529578
7.211216663,1.03389251
7.253770356,1.029891735
7.292777909,1.023345013
7.423985131,1.002613726
7.459446542,0.999704072
