r (Å),g_CC
0.067924528,0.016981132
0.249056604,0.016981132
0.543396226,0.013207547
0.777358491,0.009433962
1.003773585,0.016981132
1.283018868,0.013207547
1.509433962,0.01509434
1.766037736,0.016981132
2.158490566,0.01509434
2.483018868,0.011320755
2.837735849,0.013207547
2.943396226,0.020754717
2.988679245,0.050943396
3.041509434,0.090566038
3.079245283,0.126415094
3.141363756,0.177455024
3.147169811,0.232075472
3.177358491,0.279245283
3.19245283,0.335849057
3.20754717,0.383018868
3.230188679,0.432075472
3.260377358,0.473584906
3.275471698,0.513207547
3.290566038,0.549056604
3.313207547,0.579245283
3.341325143,0.608222905
3.349834138,0.632686266
3.362597631,0.659276876
3.375361123,0.685512944
3.409397104,0.752211057
3.430061807,0.782809252
3.443433085,0.810949715
3.46896007,0.835838526
3.494487056,0.862429136
3.523660753,0.890387263
3.546959193,0.91436946
3.588086003,0.938584642
3.643394471,0.964005265
3.719975428,0.984320491
3.792301887,1.009665141
3.847610355,1.032963581
3.898664326,1.056008776
3.9454638,1.077706713
3.992263273,1.101744625
4.047571742,1.126473892
4.07796101,1.149455776
4.111389206,1.173273366
4.141170689,1.186834577
4.243278631,1.246633904
4.320805031,1.270624543
4.372331724,1.293728828
4.42196753,1.322218768
4.460258008,1.345447565
4.494293989,1.369113208
4.525291042,1.392417978
4.592147433,1.419961706
4.677237385,1.420831944
4.749563844,1.397432207
4.821890303,1.373205207
4.906980254,1.354113686
5.000579201,1.350729427
5.07290566,1.338755595
5.119705134,1.314894954
5.15515928,1.290183414
5.183522598,1.265808688
5.217558578,1.237356735
5.254785432,1.210234313
5.306903028,1.184494603
5.349448004,1.160669416
5.396247477,1.136489688
5.536645897,1.075981278
5.600463361,1.048563405
5.647262835,1.023887319
5.67278982,1.001232119
5.703179089,0.978364195
5.743698113,0.953900834
5.81318824,0.927974989
5.894023695,0.908068292
5.987622642,0.90555427
6.081221588,0.903523715
6.157802545,0.882030214
6.213111014,0.858351909
6.285437473,0.836805457
6.379036419,0.833711277
6.455617376,0.852096784
6.515180342,0.876560145
6.591761299,0.892984164
6.685360246,0.899075831
6.778959193,0.898592365
6.87255814,0.902556783
6.966157086,0.923055726
7.021465555,0.93369197
7.229935937,0.977784036
7.323534884,0.985712872
7.417133831,0.99151446
7.510732778,1.003311022
7.604331724,1.017718297
7.697930671,1.030095018
7.791529618,1.041698193
7.885128565,1.047113008
7.978727512,1.044308907
8.072326459,1.043438669
8.165925406,1.042665124
8.259524353,1.045952691
8.3531233,1.044889066
8.446722247,1.04469568
8.540321194,1.032899118
8.629192921,1.020200088
8.684974111,1.019845546
8.821118034,1.033672663
8.911313383,1.041543484
9.135950856,0.992868164
9.229549803,0.985809566
9.323148749,1.002730863
9.410129589,1.012281995
9.510346643,1.010756392
9.60394559,0.995865651
9.697544537,0.975656787
9.791143484,0.969275041
9.884742431,0.979041047
9.952814392,0.987511365
