r (Å),g_CH3H
0.845260941,0.078903255
0.846806866,0.043750918
0.849512234,0.098609868
0.853763527,0.165541338
0.857164561,0.13067306
0.85801482,0.185425488
0.865667146,0.216956069
0.866517405,0.277567219
0.866517405,0.254132328
0.870768698,0.338107355
0.873602893,0.305677253
0.87501999,0.357991505
0.882672317,0.389522086
0.883522576,0.450133236
0.883522576,0.426698345
0.887773869,0.510673372
0.890608064,0.47824327
0.892025161,0.530557522
0.899677488,0.562194625
0.900527747,0.622699253
0.900527747,0.599264362
0.904779039,0.683239389
0.907613235,0.650809287
0.909030332,0.703123539
0.915171088,0.735435283
0.917532918,0.793667437
0.917532918,0.770232546
0.917532918,0.859711221
0.925185244,0.824558884
0.926035503,0.874091723
0.932176259,0.905160707
0.934538088,0.962505176
0.934538088,0.939070285
0.940678845,0.994402667
0.943040674,1.357170048
0.943040674,1.333735157
0.943040674,1.310300266
0.943040674,1.286865375
0.943040674,1.263430483
0.943040674,1.239995592
0.943040674,1.216560701
0.943040674,1.19312581
0.943040674,1.169690919
0.943040674,1.146256027
0.943040674,1.122821136
0.943040674,1.099386245
0.943040674,1.075951354
0.943040674,1.052516463
0.943040674,1.029081571
0.947291967,1.732128308
1.240631164,1.708693416
1.240631164,1.685258525
1.240631164,1.661823634
1.240631164,1.638388743
1.240631164,1.614953851
1.240631164,1.59151896
1.240631164,1.568084069
1.240631164,1.544649178
1.240631164,1.521214287
1.240631164,1.497779395
1.240631164,1.474344504
1.240631164,1.450909613
1.240631164,1.427474722
1.240631164,1.404039831
1.240631164,1.380604939
1.240631164,1.357170048
1.240631164,1.333735157
1.240631164,1.310300266
1.240631164,1.286865375
1.240631164,1.263430483
1.240631164,1.239995592
1.240631164,1.216560701
1.240631164,1.19312581
1.240631164,1.169690919
1.240631164,1.146256027
1.240631164,1.122821136
1.240631164,1.099386245
1.240631164,1.075951354
1.240631164,1.052516463
1.240631164,1.029081571
1.240631164,1.00564668
1.240631164,0.982211789
1.240631164,0.958776898
1.240631164,0.935342006
1.240631164,0.911907115
1.240631164,0.888472224
1.240631164,0.865037333
1.240631164,0.841602442
1.240631164,0.81816755
1.240631164,0.794732659
1.240631164,0.771297768
1.240631164,0.747862877
1.240631164,0.724427986
1.240631164,0.700993094
1.242992993,0.036886152
1.244882456,0.674575581
1.244882456,0.651140689
1.244882456,0.627705798
1.244882456,0.604270907
1.244882456,0.580836016
1.244882456,0.557401125
1.244882456,0.533966233
1.244882456,0.510531342
1.244882456,0.487096451
1.244882456,0.46366156
1.244882456,0.440226669
1.244882456,0.416791777
1.244882456,0.393356886
1.244882456,0.369921995
1.244882456,0.346487104
1.244882456,0.323052213
1.244882456,0.299617321
1.244882456,0.27618243
1.244882456,0.252747539
1.244882456,0.229312648
1.244882456,0.205877757
1.244882456,0.182442865
1.244882456,0.159007974
1.244882456,0.135573083
1.244882456,0.112138192
1.244882456,0.088703301
1.244882456,0.065268409
2.45650088,0.014279767
2.503265099,0.077864663
2.528772856,0.093816368
2.640723564,0.14911916
2.702013034,0.176903709
2.740122836,0.201708172
2.769679443,0.237187402
2.783850418,0.26616934
2.804499554,0.291795546
2.819277858,0.319821038
2.843368516,0.337397207
2.854705297,0.371425142
2.877378858,0.40364389
2.895801127,0.432557068
2.919891785,0.449600625
2.936896956,0.482267443
3.247241324,0.645956607
3.280644338,0.675275584
3.302508129,0.699927872
3.331659851,0.72686278
3.358382262,0.75258029
3.391785276,0.776091269
3.42275898,0.800210946
3.481062423,0.828722935
3.574590863,0.847509584
3.655365425,0.869830833
3.719134815,0.895624431
3.778652913,0.919668021
3.846673597,0.943982143
3.923196866,0.965049874
4.140012794,1.019361418
4.195279599,1.045485995
4.237792526,1.065725219
4.577895943,1.182591945
4.662921798,1.210169367
4.756450237,1.224404611
4.849978677,1.224114096
4.943507117,1.225857187
5.037035556,1.239801915
5.130563996,1.239220885
5.219841143,1.220395501
5.292113119,1.198451921
5.496175169,1.143350876
5.589703609,1.128340925
5.678980756,1.106949323
5.768257903,1.084763648
5.861786343,1.072271495
6.695039714,0.906581004
6.788568154,0.89234576
6.882096594,0.885373395
6.975625033,0.878110516
7.069153473,0.868910869
7.162681913,0.863778434
7.256210352,0.870847636
7.349738792,0.885373395
7.443267232,0.896412972
7.536795671,0.898930771
7.630324111,0.901642246
7.698344794,0.908285359
8.021443041,0.976619372
8.093715017,0.984697308
8.799429607,1.05571213
8.922717096,1.059101473
9.016245535,1.061231918
9.109773975,1.066945383
9.203302415,1.066267514
9.284076976,1.060638783
9.394610587,1.056777352
9.511096007,1.057842574
9.60292393,1.059212146
9.687949784,1.056351263
