r (Å),g_CN
1.036395438,2.474462041
1.037669318,1.330740036
1.040217079,1.804060305
1.04403872,1.301563454
1.0453126,0.091115876
1.04786036,0.564334661
1.051682001,0.061685585
1.206017495,0.014964022
1.221108076,2.302954482
1.223655837,2.474462041
1.227477477,2.273524191
1.228751358,1.528887083
1.231299118,1.833287629
1.235120759,1.497173407
1.236394639,0.755073393
1.2389424,1.058763552
1.2389424,1.025273911
1.2389424,0.991784269
1.2389424,0.958294627
1.2389424,0.924804986
1.2389424,0.891315344
1.2389424,0.857825702
1.2389424,0.824336061
1.2389424,0.790846419
1.242764041,0.721583751
1.242764041,0.688094109
1.242764041,0.654604468
1.242764041,0.621114826
1.242764041,0.587625185
1.242764041,0.554135543
1.242764041,0.520645901
1.242764041,0.48715626
1.242764041,0.453666618
1.242764041,0.420176976
1.242764041,0.386687335
1.242764041,0.353197693
1.242764041,0.319708051
1.246585681,0.284239476
1.246585681,0.250749835
1.246585681,0.217260193
1.246585681,0.183770551
1.246585681,0.15028091
1.246585681,0.116791268
1.246585681,0.083301626
1.246585681,0.049811985
1.284802089,0.016857439
1.368878187,0.021055177
1.452954284,0.022531304
1.537030381,0.023361626
1.621106479,0.022176111
1.705182576,0.020815306
1.789258674,0.019763565
1.873334771,0.021013661
1.949767587,0.024491786
2.06441681,0.022116143
2.148492908,0.023924399
2.232569005,0.022259143
2.316645103,0.021414983
2.4007212,0.020881204
2.484797297,0.020183339
2.568873395,0.021608724
2.652949492,0.022216968
2.739414115,0.024188694
2.805305572,0.052240346
2.868394492,0.085346252
2.907262316,0.135722603
2.924285988,0.171820838
2.966324037,0.201162331
2.973489613,0.242243774
2.99160566,0.29634727
3.01054588,0.344607817
3.096259824,0.436160669
3.119189668,0.488221839
3.142119513,0.526734927
3.158497974,0.574251074
3.17396652,0.621875954
3.189253083,0.660947203
3.204539646,0.699511033
3.220463149,0.731858982
3.228925354,0.778972819
3.261136326,0.828032969
3.277514787,0.866306845
3.29280135,0.903710861
3.315367229,0.947469693
3.333201553,0.994828782
3.348488116,1.019184885
3.359407089,1.06265618
3.401991087,1.114325912
3.421099291,1.144009913
3.435621526,1.188061598
3.475876142,1.227878994
3.522585085,1.266304022
3.600716408,1.267804727
3.761225321,1.224676325
3.845301418,1.194389352
3.916383937,1.165017052
3.939568558,1.166336341
4.013453613,1.149960552
4.097529711,1.130724766
4.181605808,1.122006388
4.267592726,1.131857232
4.33510838,1.161198725
4.387974411,1.190514847
4.403260974,1.242956581
4.452942304,1.281393557
4.525553479,1.313533925
4.601986295,1.302155443
4.655489266,1.267566394
4.682240751,1.232300786
4.720457159,1.197288888
4.741476184,1.152517635
4.815193623,1.067356607
4.880201744,1.028354668
4.956443478,1.0075622
5.163767491,0.97114078
5.259308511,0.926222683
5.339764106,0.880165229
5.425762198,0.869025765
5.50659115,0.873291316
5.546477519,0.900634936
5.632930098,0.911542593
5.827851071,0.883020441
5.898000228,0.920969141
5.957904447,0.96977534
5.97319101,0.939500801
6.043750567,0.990948681
6.127912867,1.007100637
6.233826912,0.965098872
6.313679091,0.953255539
6.386692544,0.956962653
6.446564916,0.98937403
6.486479831,1.014508578
6.548207152,1.046642919
6.63462149,1.06962458
6.718083395,1.066296305
6.829578248,1.03300547
6.909165434,1.047727193
7.046817296,1.082905734
7.133550344,1.082421523
7.220902133,1.080663248
7.304432282,1.075198917
7.496541989,1.033759744
7.746347411,1.037358868
7.829214956,1.032248038
7.918660948,1.024096699
7.995603316,1.017664825
8.076494713,1.004034406
8.171171171,0.984449761
8.279279279,0.984449761
8.36324516,0.985880451
8.453301001,0.978485064
8.495282849,0.942596358
8.568212494,0.934530513
8.65241598,0.929449076
8.737547578,0.935319428
8.866937416,0.978836632
8.951013514,0.978787428
9.15308277,0.932153724
9.241458214,0.935432012
9.325534311,0.961301853
9.416744138,0.988689014
9.493686506,0.99874052
9.577762603,0.987913938
9.706606493,0.96186727
9.782602549,0.968586772
9.921710274,1.016247567
